phaaga	translations
genu	наш
geré	"спокойствие
покой"
gereg	ложь
gerego	неправильно
geregu	"неверный
лживый"
geregu	"неправильный
кривой
косой"
gerehan	успокаивать
gerehant	успокоенный
gereu	спокойный
gerex	вечность
gerexu	вечный
geshex	ночь
geshexu	ночной
gibil	новость
gibilu	новый
gigu	черный
giran	читать
girant	прочтенный
giranu	читающий
girun	"чтение
считывание"
giruu	чтец
gizi	девушка
gorgo	волк
"gorgou
gorgu"	волчий
"gorongo
goronga"	журавль
hemel	пыль
hemelu	пыльный
hemet	мысль
hemetan	"думать
мыслить"
hi	и
hisan	иметь
hloupu	глупый
hlowpa	глупость
hokom	орел
hona	голубь
hul	"плохость
зло
ухудшение"
hulan	ухудшать
hulú	плохой
huluu	злодей
i	в (внутри)
ida	река
"igi
yeret"	глаз
ihun	вход
Imsar	Имсар
inil	"то что внутри
внутренность
контент
содержимое"
iruz	сегодня
kabrun	рост
kalu	воздух
kalu	воздушный
kamhan	ошибаться
kamhanu	"ошибочный
ошибающийся"
kamhon	ошибка
kampil	верх
kampo	"вверху
наверху"
"kampo
akkampo"	"наверх
вверх"
kantuy	"попа
жопа"
kapit	"правда
истина"
kapitan	"говорить правду
поступать правильно"
kapito	верно
kapitu	"правдивый
истинный"
kawos	голова
kawran	расти
kawranu	растущий
kcil	шуруп
kesto	лес
kestuu	лесник
khaan	видеть
khaanun	видение
khakran	грызть
khamek	ураган
khami	ветер
khamigi	окно
khamigin	окна
khan	как
khananna	"свод законов
конституция"
khankha	ворона
khanun	закон
khar	камень
kharew	кирпич
kharewan	"класть кирпичи
строить из камня"
kharewanna	"кирпичная кладка
здание из кирпича
стена из кирпича"
kharos	скала
kharu	каменный
kharuu	каменщик
khe	что
khem	какой-то
khepe	чтобы
kheth	куда
khetho	где
khetu	луна
khetunu	лунный
kho	кто
kho	когда
khor	гора
khor-e-naara	вулкан
khu	какой
khu	который
kiwula	слабость
kiwulu	слабый
kou	5
koucis	50
kowku	кукушка
krepla	дерево
kreplu	деревянный
krup	что-то
ksar	удар
ksaran	бить
ksarant	битый побитый
ksaril	драка
ksaruu	"драчун
нападающий"
kugu	белый
kumnen	поколения
kumnon	поколение
kumnonna	поколения
lalan	спать
lalanu	спящий
lalil	сон
lalilem	сон (отдельный фильм)
lalileman	дремать
lalilu	сонный (относящийся ко сну)
lalu	сонный (когда хочется спать)
lalun	спание
landu	голубой
laran	мочь
lebit	молоко
lebitu	молочный
lebrex	древность
lebrexu	древний
lem	4
lemcis	40
libiru	старый
lipish	сердце
Lirbant	дильмун бывш
lokhan	писать
lokhannox	"пишущая машинка
записыватель"
lokhil	книга
lokhox	"ручка
стилус"
lokhun	"писание
написание"
"lokhunen
lokhunanna"	писания
lokhuu	писатель
loran	говорить
lorant	сказанный
loranu	говорящий
luys	свет
luysan	светить
luysant	освещенный
luysu	светлый
manu	"желтый
жёлтый"
manucampa	тукан
"mare
maré"	парень
"mawaka
mawka"	год
maya	вода
mayanna	океан
mayos	море
"mayun
máyun"	жижка
men	2
men muypek	2000000
men muypon	2000
men satem	200
mencis	20
mencis det	21
mencis men	22
mewa	смерть
mewan	умирать
mewant	"умерший
мертвый"
mewanu	умирающий
mewu	смертельный
mewuu	смертный
"mis
mise"	только
mo	безл. (one)
mo 	себя
mola	слово
momoko	болото
mondel	круг
mondelu	вокруг
moyna	курица
mu 	с
muchomna e	с помощью
muutha	север
muypek	1000000
muypon	1000
mwezi	месяц
mwiran	смотреть
naara	огонь
naaran	поджигать
naaru	огненный
naarukhor	вулкан
Nam-ush	"нам-уш бывш
богиня зимы"
naxó	очень
ne	это
nelú	синий
nelus	синица
nen	эти
neret	стервятник
nu	не
numewuu	бессмертный
nun	нет
nup	9
nupcis	90
nushan	пить
nushant	выпитый
nushanu	пьющий
"nushem
nushus"	пиво
nushil	напиток
nushun	"питье
питьё"
nushun	распитие
nyota	звезда
nyotu	"звёздный
звездный"
omexta	смесь
omextan	"мешать
смешивать"
omextant	смешанный
omextant	смешанный
omextanu	мешающий
ordak	утка
oreo	глубоко
oreu	глубокий
oxaro	по-другому
oxaru	другой
"oxlaba
óxlaba"	хлеб
par	"творительный падеж
by"
Parim	"парим бывш
бог осени"
pe	бы
petan	создавать
petuu	создатель
phaaga	"язык
речь
говорение"
phaepi	меч
"phashar e demur
sharedemur
hepet e demur
petedemur
pedemur"	райская птица
"phashara
phashar
hepet"	птица
"phashem
phasharem
hepetem"	птичка
phat	путь
phatan	дуть
phenos	враг
phirgos	башня
pholos	лицо
po	на
prak	деньги
prakos	богатство
prakosuu	богач
pranan	"прощать
простить"
pranun	прощение
pripan	двигать
"pripanox
pripox
pripuu (если человек)"	двигатель
pripedonap	трясогузка
prunk	шум
prunkan	шуметь
prunku	шумный
"psaha
psah"	укус
psahan	кусать
"psahox
psox"	"челюсти
кусала"
rawono	между
ron	меж
rox	инструмент
royondan	"растить
выращивать"
royondant	выращенный
royondanu	выращиваемый
rozá	пост
rozan	поститься
ruan	жить
"ruil
ruel
rul
rel"	"жизнь (абстрактно)
биосфера
явление жизни
жизненность"
ruun	"жизнь конкретного человека
время жизни"
rux	дух
ruz	день
ruzú	дневной
sasanu	красный
sasmet	конь
sasmetan	ездить на коне
sasmetun	поездка на коне
sasmetuu	наездник
satem	100
se 	то
sehet	поле
sekh	6
sekhcis	60
sen 	те
serxan	готовить
serxan (xordil)	готовить еду
serxan mo	готовиться
shaar	"шар
сфера"
shaarus	мяч
shamda	убийство
shamdan	убивать
shamdox	оружие
shamdun	убивание
shamduu	убийца
shaw	бог
shawen	боги
Shenbar	Шенбар
shewet	тень
shewetu	теневой
shnuxda	снег
shomor	воробей
shoya	вещь
shraen	храм
shukar	дверь
"shukarus
shukarem"	дверца
"shurup
shurupa"	святость
shurupetho	"святое место
храм"
shurupu	"святой
священный"
sinku	зеленый
so	тогда
sokhan	молчать
sokhant	"умолкнувший
замолчавший"
sokhanu	молчащий
sokhó	тихо
sokhú	тихий
sokhun	тишина
sokhuu	"молчун
немой"
sollú	мягкий
"sonun
sonuun"	ласточка
sorud	звук
sorudanna	"симфония
музыкальное произведение"
sorudegistan	"делать музыку
играть музыку"
sorudegisto	музыка
sorudegisto	музыкально
sorudegistuu	музыкант
sowrama	павлин
srugethan	блевать
swar	вопрос
swaran	спрашивать
tabala	барабан
thamra	"фрукт
плод"
thamran	плодить
thamre	плоды
than	давать
thant	"данный
данное"
thanu	дающий
thena	холод
thenu	холодный
thok	работа
thoketho	"работа (место)
рабочее место"
thokuu	рабочий
thowta	жир
thowtu	жирный
tonur	печь
tonuran	печь
tuma	длина
tuman	длиться
tumu	длинный
tumucampa	пеликан
umswar	ответ
umswaran	отвечать
umun	мать
un	они
une	"их (родительный падеж)
их (винительный падеж)"
uné	"она
их"
unú	он
urush	война
urushan	воевать
urushant	завоеванный
urushu	военный
urushuu	воин
ush	8
ushcis	80
uskhan	опустошать
uskhant	опустошенный
uskhi	пустота
uskhi	0
uskhu	пустой
uskhun	опустошение
uskhuu	опустошитель
uuskhiba	"пустое место
космос"
uuskhibashaar	планета
uwina	небо
uwinu	небесный
wakti	время
waktinu	времянной
waktu	временный
wanwan?	бюльбюль
warsan	"предупреждать
будить
предостерегать"
warsun	"предостережение
предупреждение"
warsuu	петух
ways	цветок
waysan	"расцветать
цвести"
waysun	цветение
weben	рана
webnan	ранить
webnant	раненый
wenes	нос
Xatlu	существо
"xone
xoné"	дом
"xoné e phashar
phasharxoné
hepetxoné"	гнездо
xonen	дома
xonshaw	храм
xordan	"кушать
есть"
xordant	"съеденный
скушанный"
xordanu	кушающий
xordil	еда
xordilek	деликатес
xordilem	корм
xordileman	кормить
xordilemant	вскормленный
xordilemanu	кормящий
xordilemun	кормление
xordilemuu	кормилец
xordun	прием пищи
xwas	шея
zamin	земля
zankha	ад
ze	ты
zen	вы
zenep	кровь
zenepu	кровяной
zenpanu	кровавый
zep	7
zepcis	70
zepha	сиденье
zephan	сидеть
zephun	сидение
zeyxan	ткать
zeyxus	ткачик
zoglan	встречать
zoglan (mo)	встречаться
zoglun	встреча
zohan	верить
zowka	нужда
zowkan	нуждаться
zowkanu	нуждающийся
zowkú	"нужный
важный
необходимый"
zul	бык
Zurrush	"бывш Лугал
бог лета"
zwala	юг
	"бок
сторона"
	"величина
размер"
	"вид
образ
тип"
	вниз
	внизу
	вперед
	всё
	всегда
	громкий
	громко
	громкость
	делать
	зад
	лучше
	низ
	остановка (абстрактно)
	"тайна
секрет"
	известь
	крыша
	построенный
	"процесс кладки кирпича
строительство"
	кафе
	суд (здание)
	спальня
	строить
	"место происшествия
поле битвы"
	место убийства
	мощь
	разрушать
	разрушающий
	разрушение
	разрушенный
	"царапина
слабый удар"
	взятие
	вечер
	вчера
	дожидаться
	завтра
	заканчивать
	законченный
	конец
	настоящее (время)
	настоящий (время)
	начало
	начинание
	начинать
	начинающий
	сейчас
	делать сладким
	палка-мешалка
	подсластитель (вещество)
	"подслащение
услащение"
	поилка
	сладкий
	"сладости
"
	"сладость
конфета"
	"смешивание
приготовление пищи или напитков
приготовление лекарств"
	кабак
	"кабак
пивоварня"
	варить пиво
	кондитер
	повар
	сцена
	"танец (вид искусства)
танцевание"
	танец (конкретный комплекс движений)
	танцевать
	танцор
	танцпол
	стих
	давление
	"лекция
чтения"
	"находка
открытие чего-л нового"
	понимание
	понимать
	понимающий
	ум
	факт
	исследование
	банк
	дружелюбный
	дружественный
	"поселение
деревня"
	расселение
	сделка
	"селиться
расселяться"
	"народ
люди"
	право (как во фразе иметь право)
	расследование
	"личность
персона"
	родина
	бревно
	весна
	"ветка
ветвь"
	доска
	заяц
	зима
	квакать
	квакушка
	кот
	лето
	лиса
	лягушка
	мышь
	нора
	осень
	размножаться
	размножение
	семя
	смола
	утро
	жаворонок
	пеночка
	сеять
	менять
	открывать
	возвращаться
	место для активного туризма, кемпинг
	парк развлечений
	путешественник
	путешествие
	путешествие как отдельная вещь
	путешествие как процесс путешествия
	путешествовать
	приходить
	равнина
	вера (абстрактное)
	верущющий
	верущющий
	"делать святым
освящать"
	духовные практики
	жизненная энергия
	"освятитель
священник
экзорцист"
	освящение
	пророк
	"процесс веры
верение"
	религия
	суеверие
	надежда
	брат
	дочь
	семья
	"клан
родословная"
	поцелуй
	ребенок
	родитель
	родители
	семья
	сестра
	сын
	возлюбленный
	"процесс любви
процесс принятия"
	"бег
пробежка
догонялки"
	бегун
	бежать
	"гонка
бега"
	игра
	"скакалка
батут"
	скачки
	играть
	губа
	делать прическу
	здоровый
	здоровье
	крик
	кричать
	низкий
	процесс создания прически
	"слух
слушание
слышание"
	"слышать
слушать"
	ухо
	"провозглашать
вещать
заставлять слышать"
	прыгать
	прыгун
	прыжок
	"прыжок
прыгание"
	громкоговоритель (инструмент)
	грузчик
	дровосек
	парикмахер
	пила
	пиление
	пилить
	"пильщик
плотник
"
	пылесос
	строитель
	стройка
	строящий
	строящийся
	пивоварение
	каштановый цвет
	оранжевый
	серый
	фиолетовый
	взятка
	"купленный продукт
товар"
	"магазин
рынок"
	покупатель
	покупать
	"покупка
покупание"
	продавать
	продавец
	продажа
	"продать
впарить"
	обнимать (ся)
	обьятие
	"пожалуйста
прошу"
	"принимающий
любящий"
	прощание
	счастливчик
	счастливый
	счастье
	хотеть
	друг
	любить
	любовь
	целовать(ся)
	заставлять писать
	"почеркушка
роспись
короткий рассказ"
	просить
	просьба
	спрашивание
	книга


	без
	"благо
улучшение"
	более
	брать
	вдвоём
	вещание
	взятый
	вместо
	внутри
	вот
	впятером
	"все
каждый (человек)"
	втроем
	входить
	вчетвером
	выходить
	"гасить
тушить"
	глашатай
	"горелый
жженый
обожженый"
	давилка
	давить
	двигаться
	добыча
	должен
	достигатель
	"достижение
подвиг"
	если
	ждать
	"жечь
обжечь"
	заколка для волос
	"заставлять кого-то бежать
преследовать
гнаться
охотиться"
	звучать
	здесь
	изменение
	или
	каждый
	короткий
	"крыть
накрывать"
	ладно
	лазание
	лево
	меньше
	мимо
	молчание
	назад
	найти
	"налево
влево"
	"направо
вправо"
	настоящий
	ничто
	"носить
нести"
	"ноша
груз"
	ношение
	о
	обновлять
	ожидание
	оно
	останавливание
	останавливать
	останавливаться
	"охота
преследование"
	перед
	по
	повод для счастья
	"поврежденный
"
	"погашенный
потушенный"
	покрытие
	"помещать
ставить"
	"постановка
процесс ставки чего-то"
	"потому
поэтому"
	почему
	"правильный
ровный"
	приветствие
	размножать
	раскрывать
	распил
	сам
	самый
	свежесть
	свидетельство
	свидетельствование
	свидетельствовать
	снотворное
	"становиться
стать
достичь"
	становление
	стойка
	сторона
	"стояние
стойка"
	"стоянка
остановка транспорта"
	стоять
	стук
	стучать
	так
	так же
	такой
	такой же
	там
	те
	то
	тут
	у
	увеличивать
	уменьшать
	уменьшение
	человечность
	чем
	через
	шаг как мера длины

























































